"URL","NOMBRE","DESCRIPCION","REQUERIMIENTOS","EMPRESA","PUBLICADO","TIPO CONTRATO","JORNADA","EXPERIENCIA"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-ux-designer-senior-retiro-en-retiro-CF04906C379C753361373E686DCF3405","UX Designer Senior - Retiro","Estamos incorporando UX Designer Senior con nivel de inglés avanzado para sumarse a una de las principales firmas de Consultoría a nivel global. Lugar de trabajo: Retiro (post-cuarentena) con 2 días de home office semanal. Knowledge and Skills Requirements: Knowledge of agile practices design thinking visual design interaction design information architecture and design industry trends Must be well versed in the principles of design and fully comprehend the design elements to ensure user interface is usable in every sense. Experience in iterative product design planning and development Experience creating and working with design systems and/or UI pattern libraries. Fluency with design tools most notably Sketch Invision Axure RP OmniGraffle Illustrator Photoshop InDesign and/or other UX and prototyping software Ability to simplify and turn complex interactions into intuitive user experiences Experience with planning and facilitating usability testing a plus","Educación mínima: Universitario
Años de experiencia: 5
Idiomas: Inglés 
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Digital HR","Retiro                          Capital Federal ·                          9 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-marketing-digital-diseno-web-en-mar-del-plata-817E2ED18550075061373E686DCF3405","Diseñador Gráfico / Marketing Digital / Diseño web","Ventas E-Commerce/ Marketing Digital/Diseñador Gráfico/Importante empresa de retail del sector Bazar de Mar del Plata se encuentra a la búsqueda de un profesional para continuar e intensificar el desarrollo de su plataforma comercial y el manejo de sus redes sociales. Estamos a la búsqueda de una persona activa y con marcada visión comercial. Requisitos:--Experiencia en el desarrollo gestión e implementación de productos digitales y sólidos conocimientos en ventas online.-Formación específica en diseño gráfico y digital. -Conocimientos avanzados de programas de: diseño gráfico (illustrator Lightrooom Photoshop  etc) diseño web (programación ( no excluyente)).-Deberá demostrar sólidas competencias en la generación de Estrategias de Marketing y Publicidad Digital (SEM SEO Social Media Management Ads Network Management e-commerce)- Conocimientos en Presta Shop-La persona tendrá que tener alta predisposición para trabajo en equipo.-Se valorará experiencia en empresas de consumo masivo o afines.- Residencia en Mar del Plata Principales Tareas:-Gestionar los productos digitales teniendo en consideración: avances y desarrollos técnicos; análisis y evaluación del mercado competencia y negocio.-Armado del plan de comunicación y marketing para cumplir con los objetivos comerciales previstos.-Diseño de contenido web-- Interaccion con clientes y seguidores a traves de redes sociales y plataforma comercial Por favor indicar pretensión salarial no se tendrán en cuenta aquellas postulaciones que no indiquen remuneración pretendida","Educación mínima: Universitario
Años de experiencia: 2
Edad: entre 24 y 50 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Mar del Plata                          Buenos Aires ·                          7 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-digital-sr-en-palermo-CB8EBAD08A161AAA61373E686DCF3405","Diseñador Digital Sr","Por intermedio de LATAM5411 nos encontramos en la búsqueda de un Diseñador Digital Sr para importante empresa de Marketing internacional ubicada en Palermo.La búsqueda se orienta a perfiles creativos apasionados y dinámicos.REQUISITOS:Mínimo 5 años de experiencia en posiciones similaresEstudios universitarios en Marketing Publicidad o afines.Comprender el ecosistema de marketing y analizar el diseño para ofrecer resultados.Capacidad para comprender analizar y conceptualizar rápidamenteExcepcional talento de diseño y la capacidad de fomentar el pensamiento del mismo en toda la empresa.Sólida experiencia con herramientas de diseño tales como Photoshop Illustrator XD o Sketch e Indesign.Habilidades de animación y comprensión de After y Premiere (deseable)Comprensión de UX y capacidad para implementarlo en el día a día.Experiencia de marketing B2B.Capacidad para trabajar en estrecha colaboración con el Director Creativo y el Dpto. de Cuentas para ejecutar campañas de marketing.Inglés fluidoBENEFICIOS:Remuneración competitivaAmbiente de trabajo flexible-----Somos LATAM5411 consultora de Reclutamiento Especializado con una gran llegada al segmento de IT Marketing Digital Finanzas Bancos RRHH etc.Keywords con las principales búsquedas que llevamos adelante:CEO CFO Director RRHH Director de Sistemas CIO CTO Gerente de Sistemas Líder Técnico Tech Lead Director de Marketing Director de Ventas Gerente de Ventas CMO Gerente de Marketing Project Manager PM PMO Product Manager Jefe de Marketing Asistente Analista de Marketing Analista Business Intelligence BI Especialista E-Commerce Social Media Expert Community Manager Content Manager Copywriter Especialistas en Publicidad On-Line Programática Programmatic Google Ads Facebook Twitter Instagram LinkedIn DBA MySQL SQL Oracle Desarrolladores Developers Software Engineers Software Architects Programador Front-End Back-End PHP Magento Prestashop Woo Commerce Shopify Joomla Drupal Wordpress Ruby On Rails JAVA JAVA Spring JAVA Springboot Blockchain .NET AI Inteligencia Artificial Artificial Intelligence Python Python Django Perl GO Golang JavaScript Node Reacts Vue Vue.JS Scala TypeScript Kotlin Cordova Swift SQL Rust Elixir Mobile iOS Android QA Analyst QA Manual QA Automation Maquetador UI Developer UX/UI Designer Diseñador Web AEM Ilustrador Consultores SAP Analistas RRHH Infraestructura Soporte Técnico SysAdmin DevOps Docker AWS AzureMicrosoft Dynamics PeopleSoft Data Scientist Salesforce Analista de Finanzas Analista de Impuestos Controller Gerente Administración y Finanzas Bancos etc.Seguimos en contactoSaludosEquipo LATAM5411","Educación mínima: Terciario
Años de experiencia: 5
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Palermo                          Capital Federal ·                          7 julio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","5"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-desarrolladora-en-wordpress-con-experiencia-freelance-privilegiamos-disenador-grafico-o-sentido-estetico-en-villa-carlos-paz-13A3B38C17A11D7161373E686DCF3405","Desarrollador/a en Wordpress con Experiencia Freelance - Privilegiamos diseñador gráfico o sentido estético","Agencia Valor Digital Busca Desarrollador web en WORDPRESS EN TODA LA ARGENTINA - Trabajo Home Office - Freelance - que pueda abarcar mínimo 2 Webs por mes (pago por trabajo realizado)Especializado en WORDPRESS con Experiencia y Trabajos Demostrables con base de Diseño Gráfico o gran sentido de la estética y armonía de los elementos de una web Manejo de CSS y HTML plugins resolución de problemas TRABAJOS DEMOSTRABLESBUENA COMUNICACIÓN CON CLIENTES.Paciencia y empatía.Flexibilidad de horarios / Home Office / Usamos protocolos de trabajo plataformas de comunicación interna y estándares de calidad.ENVIAR CV Y PORTFOLIO A: ventasarrobavalordigital.com.ar AGENCIA VALOR DIGITAL","Educación mínima: Secundaria
Años de experiencia: 2
Idiomas: Español 
Edad: entre 22 y 40 años
Conocimientos: Diseño WordPress
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","VALOR DIGITAL","Villa Carlos Paz                          Córdoba ·                          6 julio (actualizada)","contrato eventual","Desde casa","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-generador-de-contenido-diseno-y-animacion-digital-en-cordoba-602936F6725B84FA61373E686DCF3405","Generador de contenido - Diseño y Animación Digital","Importante institución educativa líder en educación superior busca especialistas en generación de contenidos (lecturas trabajos prácticos actividades prácticas bases de preguntas múltiple opción etc.) para montar en plataforma multimedial.Requisitos necesarios para la posición:-	Artista de VFX Generalista:Software: After EffectsHabilidades: Corrección de color clave de color (chroma key) panel Rastreador Mocha AE Pincel tipo rotoscopía manejo de Element Cineware y creación de composición 360°.-	Artista 3D Generalista:Software: Autodesk MayaHabilidades: modelado orgánico animación de personajes texturizado iluminación y rendering con Arnold.-	Artista de Iluminación en 3D:Software: Autodesk Maya y Arnold-	Animador 3D:Software: Autodesk Maya-	Modelador 3D:Software: Autodesk Maya","Educación mínima: Universitario
Años de experiencia: 2
Edad: entre 22 y 40 años
Conocimientos: Adobe After Effects
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","Cordoba                          Córdoba ·                          6 julio (actualizada)","otro tipo de contrato","Jornada partida","2"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-san-miguel-de-tucuman-28BC45561BCD1B6261373E686DCF3405","Analista de Marketing Digital","¡Nos encontramos en la búsqueda de un diseñador gráfico Part Time!Si estudiaste diseño gráfico o diseño multimedial y te interesa un nuevo desafío ¡Postulate! Por favor leer el aviso con detenimiento en caso de no cumplir con los requisitos mencionado a continuación te solicitamos no te postules ya que son necesarios para cubrir este puesto.•Requisitos:1. Conocimientos: manejo de los siguientes software/redes/plataformas:•	Adobe•	Illustrator (excluyente) •	Photoshop (excluyente)•	XD (web)  (no excluyente)•	After Effects  (excluyente)•	Premier (no excluyente)•	Corel Draw (excluyente)Manejo de comunicación de Redes Sociales (excluyente)•	Facebook•	Instagram•	Whatsapp•	Mailing•	Google2. Competencias:-Comunicación-Trabajo en equipo-Vocación de servicio-Atención al detalle-Orientación al logro-Adaptación al cambio-Capacidad de Gestión-Iniciativa•Tus funciones principales serán:- Asegurar la transmisión de la imagen corporativa de la organización a través de la creación actualización y manutención de la imagen publicitaria.-Realización de videos publicitarios (redes sociales) -Diseño editorial-Creación de piezas digitales e impresas publicitarias look and feel y propuestas gráficas atractivas apoyo en funciones básicas de desarrollo de elementos impresos y componentes para la página web.•Condiciones del puesto: de lunes a viernes de 8:30 a 13:00 hs.•Salario: a convenir.","Educación mínima: Terciario
Años de experiencia: 1
Edad: entre 20 y 35 años
Conocimientos: Adobe Ilustrator Adobe Photoshop CorelDraw Adobe After Effects Adobe Premier
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","San Miguel de Tucumán                          Tucumán ·                          6 julio (actualizada)","Contrato por tiempo indeterminado","Jornada partida","1"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-marketing-digital-para-agencia-con-modalidad-freelance-en-palermo-96822DC5B41AF88161373E686DCF3405","Marketing Digital - Para Agencia con modalidad Freelance.","-Campañas de Google ADS (Optimizarlas para que tengan un excelente ROI)-Campañas de Mailing-Estrategias para vender más-Instalación de plug-in en WordPress-Campaña de FacebookProyecto a una posición","Educación mínima: Terciario
Años de experiencia: 3
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","General Water Company Argentina","Palermo                          Capital Federal ·                          30 junio","otro tipo de contrato","Desde casa","3"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-digital-media-creative-specialist-en-villa-crespo-B3F0FC203BF5F35061373E686DCF3405","Digital Media Creative Specialist","Agencia de marketing digital seleccionará Diseñador Sr con fuerte experiencia comprobable en el desarrollo de campañas digitales de performance para incorporarse a un equipo profesional que brinda servicios a Fintech regional de nivel World Class.Esta posición será el enlace entre el equipo de digital media del cliente y la agencia siendo su objetivo fundamental analizar resultados y traducirlos en mejoras continuas de creatividad y diseño. Será responsable de supervisar la calidad y lineamientos gráficos para campañas de diferentes países y productos.Enviar CV con la referencia Digital Media Creative Specialist indicando remuneración pretendida y portfolio de trabajos a ****@insite-la.com","Educación mínima: Secundaria
Años de experiencia: 4
Edad: entre 22 y 45 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Insite Latin America S.R.L","Villa Crespo                          Capital Federal ·                          28 junio (actualizada)","Contrato por tiempo indeterminado","Jornada completa","4"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-marketing-digital-programadora-comercializacion-ventas-diseno-en-belgrano-4E250B600924A5C461373E686DCF3405","Marketing digital  Programador/a - Comercialización ventas diseño","Experta/o en marketing digital con amplia experiencia en redes sociales posicionamiento web y con vocación comercial. Cocimientos de programas de diseño y programación Web. El horario puede ser full o part time. Nuestra empresa se dedica a la fabricación de muebles escandinavos de diseños famosos. Lugar de trabajo: Zona Belgrano CABA. Por favor no envíe su CV si no reúne las condiciones requeridas. Muchas gracias.","Educación mínima: Terciario
Edad: entre 26 y 45 años
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","N/D","$ 2.00000 (Neto mensual) ·                                                   Belgrano                          Capital Federal ·                          9 junio (actualizada)","Contrato por tiempo indeterminado","Jornada completa                                ","N/D"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-digital-jornada-4hs-a-la-manana-de-lunes-a-viernes-en-cordoba-42B88656E45D12CD61373E686DCF3405","diseñadora digital - Jornada 4hs a la mañana de lunes a viernes","Empresa selecciona diseñadora digital orientada a redes sociales con conocimiento de suite adobe cc preferentemente en illustrator y premiere. Trabajo en oficina y home office.Jornada 4hs a la mañana de lunes a viernes. Excelente oportunidad laboral.","Educación mínima: Terciario
Años de experiencia: 2
Edad: entre 23 y 40 años
Conocimientos: Adobe Ilustrator Adobe Premier
Disponibilidad de Viajar: No
Disponibilidad de cambio de residencia: No","Agrosur Coop. Ltda","Cordoba                          Córdoba ·                          19 mayo","Contrato por tiempo indeterminado","Jornada reducida","2"
